SepalLength,SepalWidth,PetalLength,PetalWidth,Species,size
6.2,3.28,1.42,0.9,1,22.259999999999998
6.66,2.76,5.54,0.17,1,38.410000000000004
7.25,2.56,4.26,1.49,1,35.59
5.3,3.03,3.1,1.17,1,27.200000000000003
6.18,3.14,4.49,0.79,1,34.25
4.68,4.07,1.72,0.85,1,21.16
6.38,2.88,4.79,1.36,1,36.160000000000004
4.91,3.72,4.95,1.68,1,35.02
6.02,2.97,4.11,1.69,1,33.14
4.91,2.98,3.93,1.48,1,30.0
5.15,3.71,3.91,1.13,1,30.78
4.12,2.59,5.35,0.73,1,32.96
6.27,2.72,4.08,0.25,1,31.83
6.07,3.0380357142857144,3.6,0.78,1,30.358035714285716
6.97,3.02,2.29,0.86,1,26.98
6.73,2.75,3.05,1.53,1,29.94
5.13,2.8,4.18,1.52,1,31.299999999999997
5.56,2.69,2.91,0.73,1,26.18
5.9,3.0380357142857144,4.69,0.63,1,34.22803571428572
5.25,3.04,3.12,0.55,1,26.57
7.29,2.86,4.21,0.97,1,35.25
7.31,3.2,2.73,1.82,1,30.56
6.57,2.99,3.84,1.34,1,32.830000000000005
5.3,2.98,0.87,0.19,1,17.25
6.35,3.2,5.05,1.84,1,37.940000000000005
3.58,3.52,5.05,0.97,1,31.849999999999998
5.45,2.27,4.8,0.62,1,32.99
5.09,3.08,2.73,0.88,1,25.06
6.18,3.48,2.6,0.39,1,26.63
6.26,2.92,5.45,0.74,1,37.980000000000004
7.29,2.51,4.1,1.66,1,35.14999999999999
5.56,2.83,2.67,0.87,1,25.499999999999996
6.76,2.89,5.91,1.08,1,41.129999999999995
4.28,2.71,2.18,0.2,1,20.19
5.5,3.21,3.32,1.22,1,28.71
6.12,3.0,0.1,1.55,1,17.19
5.65,3.11,4.34,0.33,1,32.1
5.96,2.52,7.14,1.19,1,44.19
3.5,3.01,3.54,1.89,1,26.060000000000002
5.67,3.0380357142857144,3.42,1.23,1,29.288035714285716
6.12,3.11,4.38,0.47,1,33.339999999999996
5.09,2.22,3.71,0.19,1,27.43
5.62,3.52,2.83,0.55,1,26.630000000000003
5.06,2.1,7.8,2.27,1,45.690000000000005
5.56,2.8,4.27,1.25,1,32.25
4.39,2.73,3.86,1.08,1,28.03
6.0,3.31,3.67,0.34,1,30.33
5.87,3.5,5.31,1.22,1,37.699999999999996
